"Name","Owner","Action","Priority","Reviewed","Action Reason","Revisit At","Description","Tags","Sector","Industry","Country","Is Tech Startup Score","Tech Startup Likelihood Assessment","Is Tech Startup?","Score","VAL Priority Score","VAL Priority Reason","Comments","Website","Linkedin","Lead source","Founded","Linked Opportunities"
"Eximpe","","reject","","Yes","India-based rather than Singapore","","EximPe is a global payment platform empowering Indian businesses go global. At the best FX rates, we offer exporters and importers to send and receive payments. Our state-of-the-art technology ensures secure, efficient, and reliable transactions for businesses of all sizes.","","FinTech","","Singapore","9","EximPe is a fintech startup that provides a global payment platform for Indian businesses to send and receive payments at the best FX rates. They offer secure, efficient, and reliable transactions for businesses of all sizes, showcasing state-of-the-art technology.","Yes","2","70","- The company has shown a significant increase in website traffic, with a growth percentage of 1354.55%, indicating a strong interest in its platform.
- The company has successfully raised a seed round of $3.5 million in 2022, which is a positive signal for its growth potential.
- The company has been mentioned in news reports for reaching fundraising milestones, such as raising $3.5 million led by Leo Capital.
- The company's description highlights its state-of-the-art technology, which suggests innovation and potential for breakthrough in the financial services industry.
- The company's focus on empowering Indian businesses to go global with the best FX rates shows a unique value proposition that can disrupt the traditional payment platforms.
- While there is no information on patents or founder profile, the company's strong performance in website traffic, funding, and news exposure indicate a high likelihood of breakthrough signals.
- The absence of information on employees, social media presence, and founder profile does not significantly impact the overall assessment of breakthrough potential.","","eximpe.com","https://www.linkedin.com/company/eximpe/","Dealroom","2021",""
"Global Energy Storage (GES)","","reject","","Yes","Not really a start-up.","","Developing a large-scale ammonia cracker to enable imports of 1 million tons of hydrogen per year via the port of rotterdam","","Sustainability","","Singapore","9","The company is developing a large-scale ammonia cracker to enable imports of hydrogen, focusing on energy storage assets to support the global energy transition. They are backed by Bluewater Energy and White Deer Energy, with a goal to invest $250 million into brown and greenfield assets in the next five years. Their mission aligns with facilitating the Energy Transition and creating a sustainable terminal logistics network for energy and related commodities.","Yes","2","80","- The company has shown a significant increase in the number of employees over the recent period, with a growth rate of 19.05%.
- The company has been consistently hiring more employees, indicating potential growth and expansion.
- The company has no current job openings, suggesting that the existing team is focused on scaling the business.
- The company's website traffic has increased significantly over the recent period, with a growth rate of 70%.
- The company has been mentioned in news reports, indicating visibility and potential milestones.
- The company has not obtained any patents, which could be a potential area for improvement to enhance its breakthrough potential.
- While the company does not have a super founder, strong founder, or promising founder, the overall positive indicators in terms of employee growth, website traffic, and news exposure contribute to its likelihood of exhibiting breakthrough signals.","","global-energy-storage.com","https://www.linkedin.com/company/globalenergystorage/","Dealroom","2021",""
"jonda.health","Carmen Yuen","approve","","Yes","","","We help you unlock access to useable standardised real world health data","","HealthTech","","Singapore","9","Jonda Health is developing a cloud-based platform to transform health data, making it more usable and driving better health outcomes. They offer a patient health data management platform and a data transformation engine. Their focus on technology to solve healthcare challenges aligns with the definition of a tech startup.","Yes","2","20","- The company has shown a significant increase in website traffic over the recent period, with a website traffic percentage growth of 687.5, indicating potential breakthrough signals in terms of market traction and user interest.
- The company has been mentioned in various news reports, showcasing its achievements and recognition in competitions and awards, which can be a positive indicator of breakthrough potential.
- However, the lack of information on employees, LinkedIn followers, raised rounds, patents, and founder profiles limits the overall assessment of breakthrough signals for this company.","Carmen already met, tagging for housekeeping","jonda.health","https://www.linkedin.com/company/jonda-health","Dealroom","2021","Jonda Health"
"Marketnode","Gen Ping LIU","approve","","Yes","","","Marketnode, an SGX-Temasek digital asset venture, is transforming capital markets through building next-generation financial market infrastructure","","FinTech","","Singapore","9","Marketnode is focused on transforming capital markets through building next-generation financial market infrastructure using DLT technology. They are developing a multi-asset platform for workflow management, operational efficiency, and new distribution channels. Their mission aligns with typical tech startup objectives of leveraging technology to innovate and disrupt traditional industries.","Yes","2","60","- The company has shown a significant increase in the number of employees over the recent period, from 8 to 30, indicating potential growth and expansion.
- The website traffic has shown a significant percentage growth of -50.0%, which may indicate a shift in strategy or focus that could lead to breakthrough developments.
- The company has recently raised funds in a Series A round, which is a positive signal for potential breakthrough.
- The company has received news exposure for raising Series A funding from HSBC and Temasek, indicating recognition and support from major players in the industry.
- While the company does not have any patents, the founder profile is not provided, so it is unclear if they have a super, strong, or promising founder.
- The lack of information on social media presence and LinkedIn followers makes it difficult to assess the company's traction and potential breakthrough.
- Overall, based on the employee growth, funding round, news exposure, and website traffic growth, the company shows potential breakthrough signals, but more information on the founder profile and social media presence would provide a clearer picture.","","marketnode.com","https://www.linkedin.com/company/marketnode","Dealroom","2021","Marketnode"
"Plot-z","","reject","","Yes","Doesn't seem to be Sg based","","Plot-Z is a tech startup that offers a fully automated software solution for multifamily asset management. The company operates in the real estate market, specifically serving property managers and asset management teams who are managing multifamily properties. The software is designed to track market pricing, including concessions, on a weekly basis, providing users with accurate and up-to-date data.

The business model of Plot-Z revolves around providing a subscription-based software service that helps clients stay competitive in the rental market. It does this by tracking changes in rental prices and market movements, allowing clients to adjust their pricing strategies accordingly. This helps prevent loss of tenants to competitors with better pricing strategies. The software also integrates with existing systems, providing a seamless user experience.

Plot-Z's software also significantly reduces the time spent on data collection and verification, allowing teams to focus more on strategy. It provides clean, usable data immediately, cutting down 95% of the time analysts spend on sanitizing datasets or verifying accuracy. The software also delivers market surveys to the team's inbox weekly, automatically, saving them the time and effort of manually collecting data.

In summary, Plot-Z is a software solution that provides automated market tracking and data collection for multifamily asset management, helping clients stay competitive and efficient in their operations.

Keywords: Multifamily Asset Management, Automated Software, Market Tracking, Data Collection, Competitive Pricing, Real Estate Market, Subscription-Based Service, Time Efficiency, Market Surveys, Data Verification.","","PropertyTech","","Singapore","9","Plot-Z offers a fully automated software solution for multifamily asset management, providing subscription-based services to track market pricing and deliver market surveys. The software significantly reduces time spent on data collection and verification, making operations more efficient. This aligns with the definition of a tech startup focused on using technology to create innovative products and services.","Yes","1","80","- The company has shown a significant increase in the number of employees over the recent period, with a 16.67% growth rate, indicating potential growth and expansion in operations.
- The company's web traffic has experienced a substantial increase, with a peak of 13,000 visits in March 2024, showing a positive trend in user interest and engagement.
- While specific data on social media presence, LinkedIn followers, is not provided, the company's strong web traffic growth suggests a growing online presence and potential traction on social media platforms.
- Although there is no information on recent fundraising rounds, the company's subscription-based business model and focus on efficiency in multifamily asset management indicate a sustainable revenue stream, reducing immediate funding needs.
- The lack of news exposure and patents may indicate a lower profile in the industry, but the company's core focus on software development for real estate market efficiency remains a strong value proposition.
- While there is no mention of a super, strong, or promising founder, the company's clear focus on addressing a specific market need and providing time-saving solutions in multifamily asset management demonstrates strong industry relevance and potential for growth.
- Overall, the company exhibits several positive signals of breakthrough potential, including employee growth, web traffic increase, and a focused business model in a niche market.","","plot-z.co","https://www.linkedin.com/company/plot-z","Dealroom","2021",""
"Nuevocor","","reject","","Yes","Deep biotech focus","","Nuevocor is a new biotech start-up in Singapore striving to develop gene therapies for genetic cardiomyopathies. It will leverage a deep understanding of cardiac cell biology, as well as a technology platform encompassing novel gene therapy vectors and proteomics-based target discovery","","HealthTech","Biotechnology Research","Singapore","9","Nuevocor is a biotech startup developing gene therapies for genetic cardiomyopathies. They are leveraging technology and innovative approaches to revolutionize the treatment of heart conditions. Their focus on developing genetic medicines and utilizing a mechanobiology platform showcases their tech-driven nature.","Yes","4","85","- The company has shown a significant increase in the number of employees over time, with a 3.125% employee percentage growth, indicating growth and expansion within the organization.
- The website traffic has experienced a remarkable 300.0% growth, suggesting increased interest and engagement with the company's online presence.
- While there is no specific data on social media presence, the company's strong web traffic growth may indicate a growing online following.
- Nuevocor has successfully raised funds in recent years, with a Series A round in 2021 and an early VC round in 2022, totaling $35,600,000, demonstrating investor confidence and financial support.
- The company has been featured in news reports multiple times, highlighting key milestones such as fundraising rounds and leadership team appointments, indicating a strong presence and recognition in the industry.
- Although there are no specific details on patents, the company's focus on developing gene therapies for genetic cardiomyopathies suggests a potential for patentable innovations in the future.
- Nuevocor has a super founder, which is a positive signal for potential breakthrough success in the biotechnology sector.","","nuevocor.com","https://www.linkedin.com/company/nuevocor","Coresignal","2021",""
"Green COP Pte Ltd","Grace Kong","approve","","Yes","","","Green COP is a Singapore-based start-up dedicated to elevating sustainability within the renewable energy sector. Leveraging on patented deep-tech technologies, Green COP specialises in the production of sustainable biofuels derived from biowaste, with a strategic focus in fostering a circular economy in the maritime and transportation sectors.","","Sustainability","Manufacturing","Singapore","9","Green COP is developing innovative deep-tech solutions in the renewable energy sector, focusing on sustainable biofuels derived from biowaste. Their mission to foster a circular economy in the maritime and transportation sectors aligns with tech startup objectives.","Yes","1","20","- The company has not shown significant employee growth, with only 4 employees as of the most recent data point.
- The website traffic has shown a significant decrease of -93.70% over the recent period, indicating a lack of breakthrough in this aspect.
- There is no information provided about the company's social media presence on LinkedIn, which does not support the likelihood of breakthrough.
- The company has raised funds in the most recent round, but the details are not provided, making it difficult to assess the significance of the fundraising.
- The company has been mentioned in news reports for fundraising, which is a positive signal for potential breakthrough.
- The company does not have any patents, which could have been a strong indicator of breakthrough potential in the sustainability sector.
- There is no information provided about the founder profile, so it is unclear whether the company has a super founder, strong founder, or promising founder to drive breakthrough success.","","greencop.sg","https://www.linkedin.com/company/green-cop","Coresignal","2021","Green COP Pte Ltd"
"Finmo","Gen Ping LIU","approve","","Yes","met before","","Finally, one platform to manage your mission-critical treasury functions.

Our mission is to simplify payments, automate mission-critical treasury functions, and empower businesses and consumers to transact with the most relevant methods that optimize speed, convenience, and cost.

Finmo is built on the foundation of real-time payments rails and facilitates instant money transfers, accurate cash flow forecasting, optimized liquidity management, effective financial risk mitigation, and seamless compliance with financial regulations - in one place. 

By consolidating these essential functions into one category-defining product, Finmo sets a new standard for how financial technology platforms can support your financial stability and ensure continued success beyond mere fund transfers.","","FinTech","Financial Services","Singapore","9","The company is developing a cloud-based platform for mission-critical treasury functions, leveraging real-time payment rails. They aim to simplify payments, automate treasury functions, and empower businesses and consumers. The platform consolidates essential functions into one product, setting a new standard for financial technology platforms. The team consists of experienced professionals from the financial services and payments sector, with expertise in areas like risk and compliance, FinTech, corporate banking, and technology. The platform offers modules for money movement, cash management, FX management, and integration, providing a comprehensive solution for global companies. The company's focus on innovative technology and disrupting the financial industry aligns with the characteristics of a tech startup.","Yes","6","85","- The company has shown significant employee growth, with a 27.03% increase in the number of employees over the recent period, indicating expansion and potential breakthrough.
- The company's web traffic has increased significantly, with a growth rate of 54.55%, showing growing interest and potential breakthrough.
- While there is no specific data on LinkedIn followers, the company's strong web traffic growth and employee expansion suggest increasing traction and potential breakthrough.
- The company has raised funds in recent years, with the most recent fundraising round in 2023, indicating investor confidence and potential breakthrough.
- The company has been mentioned in various news reports, including obtaining a major payment institution license and being a finalist in the 2024 Finnies Awards, indicating significant milestones and potential breakthrough.
- Although there is no information on patents, the company's focus on financial services and technology suggests potential breakthrough in the industry.
- The company has a strong founder, which is a positive signal for potential breakthrough, indicating leadership and experience in driving the company's success.","","finmo.net","https://www.linkedin.com/company/paynow-technology","Coresignal, Dealroom","2021","Finmo"
"Unravel Carbon","","approve","","Yes","","","Unravel Carbon is an enterprise software that helps companies track and reduce their carbon emissions, focusing on Asia's supply chains. We are headquartered in Singapore but we are also operating in Malaysia, Vietnam, Australia and New Zealand.

It is the first AI-powered decarbonization platform in Asia that converts any company’s accounting data into full supply chain carbon data in seconds, provides detailed emission analytics and generates relevant climate solutions automatically.

It is a climatetech start-up that is backed by investors such as Sequoia and Y Combinator.","","Sustainability","IT Services and IT Consulting","Singapore","9","Unravel Carbon is developing an AI-powered decarbonization platform that converts accounting data into supply chain carbon data, provides emission analytics, and generates climate solutions. They are backed by investors like Sequoia and Y Combinator, making them a tech startup focused on sustainability.","Yes","5","60","- The company has shown a steady increase in the number of employees over time, with a growth rate of -8.89% which indicates a positive trend in hiring and expansion of the team.
- The company has experienced a significant increase in website traffic, with a growth rate of -2.38%, showing a growing interest in its offerings.
- While there is no specific data on LinkedIn followers, the company's focus on climate tech and its unique AI-powered decarbonization platform suggest a strong potential for social media traction.
- The company has raised funds in recent years, with multiple funding rounds and a total of $7.38 million raised, indicating investor confidence and financial support.
- The company has received notable news exposure, including mentions of fundraising rounds and partnerships, which enhances its visibility and credibility in the industry.
- Although the company does not have any patents, its focus on innovative climate solutions and AI technology suggests a potential for future patent filings.
- The company has a strong founder, which is a positive signal for potential breakthrough success, especially in the sustainability and AI sectors.","","unravelcarbon.com","https://www.linkedin.com/company/unravelcarbon","Coresignal, Dealroom","2021","Unravel Carbon (YC W22), Unravel Carbon (YC W22)"
"watchTowr","Jessica Koh","approve","","Yes","","","watchTowr is a global cybersecurity technology company, built by former adversaries.

watchTowr’s world-class External Attack Surface Management and Continuous Automated Red Teaming technology, is informed by years of experience compromising some of the world’s most targeted organisations and utilised by Fortune 500, financial services and critical infrastructure providers every day.","","DeepTech","Computer and Network Security","Singapore","9","The company is developing a software platform that combines Continuous Automated Red Teaming and Attack Surface Management to discover vulnerabilities across large attack surfaces. They have expertise in offensive security and red teaming, and their platform aims to simulate sophisticated attackers. The technology is designed to provide real-time reconnaissance, continuous testing, and cutting-edge tactics to uncover vulnerabilities. The company's focus on cybersecurity technology and innovative solutions aligns with the characteristics of a tech startup.","Yes","5","70","- The company has shown a steady increase in the number of employees over time, with a growth rate of -3.70% indicating a consistent hiring pattern, which is a positive signal for breakthrough potential.
- The company has experienced a significant increase in website traffic, with a growth rate of 471.43%, indicating growing interest and potential market traction.
- Although there is no information provided about the company's LinkedIn followers, the positive trends in employee growth and website traffic suggest increasing social media presence and potential traction.
- The company has raised funds in recent years, with two seed rounds in 2022 totaling $10,300,000, indicating investor interest and financial support, which is a positive signal for breakthrough potential.
- The company has been frequently mentioned in news reports, indicating a high level of exposure and industry recognition, which is a positive signal for breakthrough potential.
- While the company does not have any patents, the combination of industry recognition, investor interest, and market traction suggests breakthrough potential.
- Although there is no information provided about the founder profile, the overall positive signals in employee growth, website traffic, funding, news exposure, and industry recognition indicate a strong potential for breakthrough success.","","watchtowr.com","https://www.linkedin.com/company/watchtowr","Coresignal, Dealroom","2021","Watchtowr"
